d, :, 0, , 362, -1, 
d, :, 7468, 0.12, 7830, -1, 
d, :, 7436, 0.89, 7798, -1, 
d, :, 7768, 0.48, 8130, -1, 
d, :, 7772, 0.82, 8134, -1, 
d, :, 7436, 0.74, 7798, -1, 
d, :, 7432, 0.81, 7794, -1, 
d, :, 7488, 1.68, 7850, -1, 
d, :, 7428, 0.80, 7790, -1, 
d, :, 7452, 0.63, 7814, -1, 
d, :, 7464, 0.51, 7826, -1, 
d, :, 7792, 0.84, 8154, -1, 
d, :, 7456, 0.89, 7818, -1, 
d, :, 7452, 1.22, 7814, -1, 
d, :, 8108, 0.96, 8470, -1, 
d, :, 8064, 0.52, 8426, -1, 
d, :, 7472, 0.55, 7834, -1, 
d, :, 7416, 0.71, 7778, -1, 
d, :, 8088, 0.87, 8450, -1, 
d, :, 8092, 1200, 8454, -1, 
d, :, 7440, 1200, 7802, -1, 
d, :, 7788, 1200, 8150, -1, 
d, :, 7440, 1200, 7802, -1, 
d, :, 8092, 0.36, 8454, -1, 
d, :, 7764, 0.51, 8126, -1, 
d, :, 7780, 0.34, 8142, -1, 
d, :, 7780, 0.88, 8142, -1, 
d, :, 7476, 0.74, 7838, -1, 
d, :, 7472, 0.71, 7834, -1, 
d, :, 7468, 0.66, 7830, -1, 
d, :, 7484, 0.59, 7846, -1, 
d, :, 7820, 0.30, 8182, -1, 
d, :, 7476, 0.93, 7838, -1, 
d, :, 7784, 0.74, 8146, -1, 
d, :, 7788, 0.89, 8150, -1, 
d, :, 7784, 0.98, 8146, -1, 
d, :, 7780, 0.62, 8142, -1, 
d, :, 7788, 0.52, 8150, -1, 
d, :, 7788, 1.22, 8150, -1, 
d, :, 7776, 0.67, 8138, -1, 
d, :, 7776, 0.59, 8138, -1, 
d, :, 8132, 0.25, 8494, -1, 
d, :, 8120, 0.26, 8482, -1, 
d, :, 7412, 0.77, 7774, -1, 
d, :, 7764, 1.21, 8126, -1, 
d, :, 7764, 1200, 8126, -1, 
d, :, 7788, 1200, 8150, -1, 
d, :, 7772, 1200, 8134, -1, 
d, :, 8120, 1200, 8482, -1, 
d, :, 7776, 1.02, 8138, -1, 
d, :, 7784, 1.08, 8146, -1, 
d, :, 7772, 0.82, 8134, -1, 
d, :, 7776, 1.07, 8138, -1, 
d, :, 7776, 0.98, 8138, -1, 
d, :, 7776, 0.92, 8138, -1, 
d, :, 7760, 0.81, 8122, -1, 
d, :, 7788, 0.12, 8150, -1, 
d, :, 7772, 1.06, 8134, -1, 
d, :, 7772, 0.45, 8134, -1, 
d, :, 7780, 0.96, 8142, -1, 
d, :, 8100, 0.89, 8462, -1, 
d, :, 8068, 0.80, 8430, -1, 
d, :, 7768, 0.65, 8130, -1, 
d, :, 7780, 0.93, 8142, -1, 
d, :, 7784, 0.62, 8146, -1, 
d, :, 7784, -0.80, 8146, -1, 
d, :, 7772, 1.36, 8134, -1, 
d, :, 7764, 0.49, 8126, -1, 
d, :, 8092, 0.41, 8454, -1, 
d, :, 7452, 0.73, 7814, -1, 
d, :, 7760, 1.44, 8122, -1, 
d, :, 7776, 1500, 8138, -1, 
d, :, 8124, 1500, 8486, -1, 
d, :, 7416, 1500, 7778, -1, 
d, :, 8060, 1500, 8422, -1, 
d, :, 7772, -0.11, 8134, -1, 
d, :, 8052, 0.32, 8414, -1, 
d, :, 7788, 1.33, 8150, -1, 
d, :, 7436, 0.92, 7798, -1, 
d, :, 7528, 1.91, 7890, -1, 
d, :, 7500, 0.07, 7862, -1, 
d, :, 7488, 0.07, 7850, -1, 
d, :, 7480, 0.54, 7842, -1, 
d, :, 7500, 1.08, 7862, -1, 
d, :, 7788, 1.98, 8150, -1, 
d, :, 7788, 0.82, 8150, -1, 
d, :, 8132, -0.32, 8494, -1, 
d, :, 7476, 0.47, 7838, -1, 
d, :, 7784, 0.51, 8146, -1, 
d, :, 7796, 1.08, 8158, -1, 
d, :, 7792, 0.54, 8154, -1, 
d, :, 8064, 0.34, 8426, -1, 
d, :, 7420, 1.39, 7782, -1, 
d, :, 8060, 0.89, 8422, -1, 
d, :, 7740, 0.55, 8102, -1, 
d, :, 7760, 0.04, 8122, -1, 
d, :, 8072, 0.27, 8434, -1, 
d, :, 8088, 1500, 8450, -1, 
d, :, 7536, 1500, 7898, -1, 
d, :, 7776, 1500, 8138, -1, 
d, :, 8100, 1499, 8462, -1, 
d, :, 7792, 0.51, 8154, -1, 
d, :, 8096, 0.01, 8458, -1, 
d, :, 7772, 0.55, 8134, -1, 
d, :, 7780, 1.47, 8142, -1, 
d, :, 7488, 0.81, 7850, -1, 
d, :, 8104, 0.70, 8466, -1, 
d, :, 8112, 0.67, 8474, -1, 
d, :, 8124, 1.29, 8486, -1, 
d, :, 7776, 1.02, 8138, -1, 
d, :, 8072, 1.07, 8434, -1, 
d, :, 8028, 0.67, 8390, -1, 
d, :, 7784, 0.07, 8146, -1, 
d, :, 7780, 0.56, 8142, -1, 
d, :, 7788, 0.38, 8150, -1, 
d, :, 7796, 0.48, 8158, -1, 
d, :, 7488, 0.05, 7850, -1, 
d, :, 8036, 1.21, 8398, -1, 
d, :, 7668, 0.25, 8030, -1, 
d, :, 7772, 0.32, 8134, -1, 
d, :, 8116, 0.88, 8478, -1, 
d, :, 7448, -0.03, 7810, -1, 
d, :, 7780, 1500, 8142, -1, 
d, :, 7416, 1500, 7778, -1, 
d, :, 8048, 1500, 8410, -1, 
d, :, 7772, 1500, 8134, -1, 
d, :, 8064, 0.88, 8426, -1, 
d, :, 7508, 0.23, 7870, -1, 
d, :, 7780, 1.40, 8142, -1, 
d, :, 7772, 0.48, 8134, -1, 
d, :, 7764, -0.07, 8126, -1, 
d, :, 7796, 0.54, 8158, -1, 
d, :, 7420, 0.63, 7782, -1, 
d, :, 7456, 0.44, 7818, -1, 
d, :, 7768, 0.91, 8130, -1, 
d, :, 7776, 0.59, 8138, -1, 
d, :, 7452, 0.96, 7814, -1, 
d, :, 7484, 1.22, 7846, -1, 
d, :, 7776, 0.33, 8138, -1, 
d, :, 8084, -0.04, 8446, -1, 
d, :, 8076, -0.01, 8438, -1, 
d, :, 8076, 0.03, 8438, -1, 
d, :, 7980, 0.54, 8342, -1, 
d, :, 7772, 0.40, 8134, -1, 
d, :, 7444, -0.03, 7806, -1, 
d, :, 8040, 0.54, 8402, -1, 
d, :, 7784, 0.98, 8146, -1, 
d, :, 7488, 0.74, 7850, -1, 
d, :, 7404, 1500, 7766, -1, 
d, :, 7776, 1500, 8138, -1, 
d, :, 8084, 1500, 8446, -1, 
d, :, 7412, 1500, 7774, -1, 
d, :, 8132, 1.02, 8494, -1, 
d, :, 7500, 0.32, 7862, -1, 
d, :, 8060, 0.66, 8422, -1, 
d, :, 8080, 0.33, 8442, -1, 
d, :, 7768, 0.11, 8130, -1, 
d, :, 7792, 0.81, 8154, -1, 
d, :, 7792, 1.22, 8154, -1, 
d, :, 7448, 0.11, 7810, -1, 
d, :, 8108, 0.69, 8470, -1, 
d, :, 7772, 0.36, 8134, -1, 
d, :, 7452, 0.96, 7814, -1, 
d, :, 7432, 0.66, 7794, -1, 
d, :, 7776, -0.16, 8138, -1, 
d, :, 8112, 0.77, 8474, -1, 
d, :, 8072, 0.95, 8434, -1, 
d, :, 8040, 1.62, 8402, -1, 
d, :, 7780, 0.22, 8142, -1, 
d, :, 8040, 0.26, 8402, -1, 
d, :, 7460, 0.80, 7822, -1, 
d, :, 7772, 1.06, 8134, -1, 
d, :, 8060, 0.49, 8422, -1, 
d, :, 7440, 0.55, 7802, -1, 
d, :, 7776, 1500, 8138, -1, 
d, :, 7448, 1500, 7810, -1, 
d, :, 7932, 1499, 8294, -1, 
d, :, 7800, 1499, 8162, -1, 
d, :, 7808, 0.19, 8170, -1, 
d, :, 7780, 0.00, 8142, -1, 
d, :, 7780, 1.07, 8142, -1, 
d, :, 7428, 1.29, 7790, -1, 
d, :, 7460, 0.69, 7822, -1, 
d, :, 7440, 0.54, 7802, -1, 
d, :, 7640, 0.18, 8002, -1, 
d, :, 7784, 0.19, 8146, -1, 
d, :, 8060, 0.44, 8422, -1, 
d, :, 7776, 0.56, 8138, -1, 
d, :, 8104, 0.21, 8466, -1, 
d, :, 8120, 0.74, 8482, -1, 
d, :, 7768, 0.73, 8130, -1, 
d, :, 7780, 0.29, 8142, -1, 
d, :, 7452, 1.07, 7814, -1, 
d, :, 7492, 0.27, 7854, -1, 
d, :, 7692, 1.50, 8054, -1, 
d, :, 7792, 0.40, 8154, -1, 
d, :, 8036, 0.34, 8398, -1, 
d, :, 7764, 1.00, 8126, -1, 
d, :, 7456, 0.27, 7818, -1, 
d, :, 7772, 0.66, 8134, -1, 
d, :, 7788, 1500, 8150, -1, 
d, :, 8052, 1500, 8414, -1, 
d, :, 7772, 1500, 8134, -1, 
d, :, 7464, 1500, 7826, -1, 
d, :, 7780, 0.99, 8142, -1, 
d, :, 7432, 0.10, 7794, -1, 
d, :, 8152, 0.71, 8514, -1, 
d, :, 8088, 0.00, 8450, -1, 
d, :, 7768, -0.30, 8130, -1, 
d, :, 7772, 0.80, 8134, -1, 
d, :, 7476, -0.10, 7838, -1, 
d, :, 7476, 0.66, 7838, -1, 
d, :, 7784, 0.48, 8146, -1, 
d, :, 8132, 0.80, 8494, -1, 
d, :, 7448, 0.55, 7810, -1, 
d, :, 7772, 0.54, 8134, -1, 
d, :, 7476, 0.15, 7838, -1, 
d, :, 7768, 0.43, 8130, -1, 
d, :, 7788, 0.74, 8150, -1, 
d, :, 7516, 0.41, 7878, -1, 
d, :, 7488, 0.62, 7850, -1, 
d, :, 7764, 0.38, 8126, -1, 
d, :, 8088, 0.74, 8450, -1, 
d, :, 7464, 0.47, 7826, -1, 
d, :, 7772, 0.26, 8134, -1, 
d, :, 8048, 0.73, 8410, -1, 
d, :, 7776, 1500, 8138, -1, 
d, :, 8068, 1500, 8430, -1, 
d, :, 7484, 1500, 7846, -1, 
d, :, 7776, 1500, 8138, -1, 
d, :, 7460, 0.22, 7822, -1, 
d, :, 7788, 0.29, 8150, -1, 
d, :, 8044, 0.93, 8406, -1, 
d, :, 8100, 0.29, 8462, -1, 
d, :, 7768, 0.76, 8130, -1, 
d, :, 7764, 0.77, 8126, -1, 
d, :, 7492, 0.49, 7854, -1, 
d, :, 7472, 0.48, 7834, -1, 
d, :, 7776, 0.41, 8138, -1, 
d, :, 7788, 0.55, 8150, -1, 
d, :, 7472, 0.76, 7834, -1, 
d, :, 7784, 0.91, 8146, -1, 
d, :, 7500, 0.29, 7862, -1, 
d, :, 7760, -0.07, 8122, -1, 
d, :, 7780, 0.55, 8142, -1, 
d, :, 7416, 0.76, 7778, -1, 
d, :, 7508, 0.67, 7870, -1, 
d, :, 7780, 0.60, 8142, -1, 
d, :, 8116, 0.47, 8478, -1, 
d, :, 7776, 0.23, 8138, -1, 
d, :, 7440, 0.43, 7802, -1, 
d, :, 7772, 0.70, 8134, -1, 
d, :, 7780, 1500, 8142, -1, 
d, :, 7928, 1500, 8290, -1, 
d, :, 8132, 1499, 8494, -1, 
d, :, 7440, 1500, 7802, -1, 
d, :, 8072, 1.06, 8434, -1, 
d, :, 7420, 0.48, 7782, -1, 
d, :, 7764, 0.41, 8126, -1, 
d, :, 7788, -0.96, 8150, -1, 
d, :, 7784, -0.19, 8146, -1, 
d, :, 7428, 0.80, 7790, -1, 
d, :, 7416, 0.40, 7778, -1, 
d, :, 7788, 0.54, 8150, -1, 
d, :, 7432, 0.52, 7794, -1, 
d, :, 7772, 0.85, 8134, -1, 
d, :, 7776, 0.74, 8138, -1, 
d, :, 7508, 0.40, 7870, -1, 
d, :, 7776, 0.63, 8138, -1, 
d, :, 7420, 0.58, 7782, -1, 
d, :, 7512, 0.40, 7874, -1, 
d, :, 7784, 0.87, 8146, -1, 
d, :, 8072, 0.10, 8434, -1, 
d, :, 7484, -0.07, 7846, -1, 
d, :, 7792, 0.95, 8154, -1, 
d, :, 8108, 0.87, 8470, -1, 
d, :, 7772, 0.78, 8134, -1, 
d, :, 7472, 0.49, 7834, -1, 
d, :, 7480, 1500, 7842, -1, 
d, :, 7780, 1500, 8142, -1, 
d, :, 8084, 1500, 8446, -1, 
d, :, 7784, 1500, 8146, -1, 
d, :, 7780, 0.01, 8142, -1, 
d, :, 8148, 0.66, 8510, -1, 
d, :, 7452, 0.04, 7814, -1, 
d, :, 7412, 1.30, 7774, -1, 
d, :, 7472, 0.81, 7834, -1, 
d, :, 7764, 0.85, 8126, -1, 
d, :, 8080, 0.15, 8442, -1, 
d, :, 8084, 0.87, 8446, -1, 
d, :, 7792, 0.30, 8154, -1, 
d, :, 7420, 0.55, 7782, -1, 
d, :, 7760, 1.15, 8122, -1, 
d, :, 8104, 0.62, 8466, -1, 
d, :, 7436, 0.19, 7798, -1, 
d, :, 8080, 0.69, 8442, -1, 
d, :, 8096, 0.03, 8458, -1, 
d, :, 8048, 0.69, 8410, -1, 
d, :, 7780, 0.47, 8142, -1, 
d, :, 8088, 0.65, 8450, -1, 
d, :, 7416, 1.39, 7778, -1, 
d, :, 7792, 0.37, 8154, -1, 
d, :, 8080, 0.03, 8442, -1, 
d, :, 8112, 0.36, 8474, -1, 
d, :, 8132, 1500, 8494, -1, 
d, :, 7764, 1500, 8126, -1, 
d, :, 7476, 1500, 7838, -1, 
d, :, 7760, 1500, 8122, -1, 
d, :, 7408, 0.16, 7770, -1, 
d, :, 7772, 0.44, 8134, -1, 
d, :, 7796, 0.74, 8158, -1, 
d, :, 8120, 1.06, 8482, -1, 
d, :, 8144, 0.78, 8506, -1, 
d, :, 7776, 0.74, 8138, -1, 
d, :, 7784, 0.37, 8146, -1, 
d, :, 7476, 0.34, 7838, -1, 
d, :, 7780, 0.32, 8142, -1, 
d, :, 7760, 0.44, 8122, -1, 
d, :, 7464, 0.54, 7826, -1, 
d, :, 7772, 0.14, 8134, -1, 
d, :, 7424, 0.41, 7786, -1, 
d, :, 7776, 0.76, 8138, -1, 
d, :, 7784, 0.22, 8146, -1, 
d, :, 7468, 0.10, 7830, -1, 
d, :, 7476, 0.66, 7838, -1, 
d, :, 7780, 0.80, 8142, -1, 
d, :, 8068, 0.52, 8430, -1, 
d, :, 7788, 1.00, 8150, -1, 
d, :, 7412, 0.55, 7774, -1, 
d, :, 7780, 0.77, 8142, -1, 
d, :, 7420, 1500, 7782, -1, 
d, :, 7776, 1500, 8138, -1, 
d, :, 8104, 1500, 8466, -1, 
d, :, 7468, 1500, 7830, -1, 
d, :, 8128, 0.49, 8490, -1, 
d, :, 7492, 0.47, 7854, -1, 
d, :, 7784, 0.91, 8146, -1, 
d, :, 7780, 0.69, 8142, -1, 
d, :, 7492, 0.25, 7854, -1, 
d, :, 7464, 0.29, 7826, -1, 
d, :, 7788, 0.78, 8150, -1, 
d, :, 8136, 1.02, 8498, -1, 
d, :, 7484, 0.59, 7846, -1, 
d, :, 7764, 1.59, 8126, -1, 
d, :, 8056, 0.44, 8418, -1, 
d, :, 7784, 0.40, 8146, -1, 
d, :, 8128, 0.55, 8490, -1, 
d, :, 7624, 0.69, 7986, -1, 
d, :, 8120, 0.38, 8482, -1, 
d, :, 8096, 0.32, 8458, -1, 
d, :, 8092, 0.29, 8454, -1, 
d, :, 8116, 0.74, 8478, -1, 
d, :, 7428, 1.06, 7790, -1, 
d, :, 7784, 0.87, 8146, -1, 
d, :, 8140, 0.67, 8502, -1, 
d, :, 7696, 1.06, 8058, -1, 
d, :, 8104, 1500, 8466, -1, 
d, :, 7432, 1500, 7794, -1, 
d, :, 7780, 1500, 8142, -1, 
d, :, 8140, 1500, 8502, -1, 
d, :, 7424, 1.13, 7786, -1, 
d, :, 7788, 0.87, 8150, -1, 
d, :, 7480, 0.66, 7842, -1, 
d, :, 7772, 0.85, 8134, -1, 
d, :, 8132, 0.82, 8494, -1, 
d, :, 8036, 0.19, 8398, -1, 
d, :, 7776, 1.21, 8138, -1, 
d, :, 7768, 0.34, 8130, -1, 
d, :, 8076, 0.87, 8438, -1, 
d, :, 7776, 0.74, 8138, -1, 
d, :, 7424, 0.92, 7786, -1, 
d, :, 7776, 0.80, 8138, -1, 
d, :, 7776, 0.23, 8138, -1, 
d, :, 8080, 0.38, 8442, -1, 
d, :, 7776, 0.87, 8138, -1, 
d, :, 7780, 0.58, 8142, -1, 
d, :, 7428, 0.80, 7790, -1, 
d, :, 7768, 0.26, 8130, -1, 
d, :, 7768, 0.84, 8130, -1, 
d, :, 7476, 0.58, 7838, -1, 
d, :, 7788, 0.55, 8150, -1, 
d, :, 8120, 0.29, 8482, -1, 
d, :, 7784, 1500, 8146, -1, 
d, :, 8108, 1500, 8470, -1, 
d, :, 7488, 1500, 7850, -1, 
d, :, 7768, 1500, 8130, -1, 
d, :, 7768, 0.23, 8130, -1, 
d, :, 7476, 0.52, 7838, -1, 
d, :, 8064, 1.02, 8426, -1, 
d, :, 7768, 0.18, 8130, -1, 
d, :, 7776, 0.47, 8138, -1, 
d, :, 7780, 0.32, 8142, -1, 
d, :, 7440, 0.11, 7802, -1, 
d, :, 7496, 0.25, 7858, -1, 
d, :, 7776, 1.17, 8138, -1, 
d, :, 7452, 1.21, 7814, -1, 
d, :, 8064, 0.96, 8426, -1, 
d, :, 7488, 1.10, 7850, -1, 
d, :, 7764, 0.11, 8126, -1, 
d, :, 7416, 0.89, 7778, -1, 
d, :, 7420, 0.25, 7782, -1, 
d, :, 7612, 0.59, 7974, -1, 
d, :, 8104, -0.12, 8466, -1, 
d, :, 7448, 0.49, 7810, -1, 
d, :, 7788, 1.02, 8150, -1, 
d, :, 7412, 0.70, 7774, -1, 
d, :, 7784, 0.23, 8146, -1, 
d, :, 7496, 0.80, 7858, -1, 
d, :, 7488, 1500, 7850, -1, 
d, :, 0, , 362, -1, 
d, :, 8068, 0.74, 8430, -1, 
d, :, 8088, 0.76, 8450, -1, 
d, :, 7668, 1.03, 8030, -1, 
d, :, 0, , 362, -1, 
d, :, 7776, 1.08, 8138, -1, 
d, :, 7788, 0.48, 8150, -1, 
d, :, 8132, 0.33, 8494, -1, 
d, :, 8076, 0.78, 8438, -1, 
d, :, 7768, 0.87, 8130, -1, 
d, :, 7432, 0.82, 7794, -1, 
d, :, 7784, 0.96, 8146, -1, 
d, :, 7472, 0.15, 7834, -1, 
d, :, 7780, 0.78, 8142, -1, 
d, :, 7456, 0.48, 7818, -1, 
d, :, 7808, 0.76, 8170, -1, 
d, :, 8032, 0.87, 8394, -1, 
d, :, 8088, 1.10, 8450, -1, 
d, :, 8144, 1.04, 8506, -1, 
d, :, 7780, 0.43, 8142, -1, 
d, :, 7772, 0.99, 8134, -1, 
d, :, 8124, 0.23, 8486, -1, 
d, :, 7768, 0.84, 8130, -1, 
d, :, 8120, -0.07, 8482, -1, 
d, :, 8112, 0.84, 8474, -1, 
d, :, 7784, 1000, 8146, -1, 
d, :, 8076, 1000, 8438, -1, 
d, :, 7784, 1000, 8146, -1, 
d, :, 8100, 1200, 8462, -1, 
d, :, 8112, 0.85, 8474, -1, 
