319, 651, -1, 
374, 706, -1, 
375, 707, -1, 
365, 697, -1, 
377, 709, -1, 
318, 650, -1, 
322, 654, -1, 
356, 688, -1, 
375, 707, -1, 
335, 667, -1, 
326, 658, -1, 
334, 666, -1, 
358, 690, -1, 
370, 702, -1, 
394, 726, -1, 
359, 691, -1, 
352, 684, -1, 
335, 667, -1, 
395, 727, -1, 
355, 687, -1, 
350, 682, -1, 
332, 664, -1, 
393, 725, -1, 
380, 712, -1, 
324, 656, -1, 
389, 721, -1, 
364, 696, -1, 
316, 648, -1, 
326, 658, -1, 
314, 646, -1, 
393, 725, -1, 
351, 683, -1, 
383, 715, -1, 
371, 703, -1, 
362, 694, -1, 
393, 725, -1, 
328, 660, -1, 
371, 703, -1, 
386, 718, -1, 
322, 654, -1, 
345, 677, -1, 
321, 653, -1, 
361, 693, -1, 
362, 694, -1, 
320, 652, -1, 
382, 714, -1, 
390, 722, -1, 
337, 669, -1, 
333, 665, -1, 
355, 687, -1, 
365, 697, -1, 
341, 673, -1, 
317, 649, -1, 
375, 707, -1, 
337, 669, -1, 
325, 657, -1, 
321, 653, -1, 
383, 715, -1, 
352, 684, -1, 
340, 672, -1, 
337, 669, -1, 
360, 692, -1, 
309, 641, -1, 
321, 653, -1, 
353, 685, -1, 
306, 638, -1, 
374, 706, -1, 
349, 681, -1, 
396, 728, -1, 
344, 676, -1, 
401, 733, -1, 
345, 677, -1, 
350, 682, -1, 
385, 717, -1, 
348, 680, -1, 
330, 662, -1, 
370, 702, -1, 
346, 678, -1, 
348, 680, -1, 
388, 720, -1, 
352, 684, -1, 
410, 742, -1, 
355, 687, -1, 
402, 734, -1, 
361, 693, -1, 
367, 699, -1, 
389, 721, -1, 
389, 721, -1, 
321, 653, -1, 
340, 672, -1, 
353, 685, -1, 
321, 653, -1, 
318, 650, -1, 
347, 679, -1, 
349, 681, -1, 
375, 707, -1, 
348, 680, -1, 
359, 691, -1, 
347, 679, -1, 
329, 661, -1, 
345, 677, -1, 
331, 663, -1, 
326, 658, -1, 
356, 688, -1, 
364, 696, -1, 
380, 712, -1, 
325, 657, -1, 
380, 712, -1, 
384, 716, -1, 
390, 722, -1, 
354, 686, -1, 
350, 682, -1, 
390, 722, -1, 
366, 698, -1, 
385, 717, -1, 
349, 681, -1, 
361, 693, -1, 
348, 680, -1, 
326, 658, -1, 
318, 650, -1, 
361, 693, -1, 
339, 671, -1, 
316, 648, -1, 
359, 691, -1, 
391, 723, -1, 
365, 697, -1, 
312, 644, -1, 
304, 636, -1, 
303, 635, -1, 
381, 713, -1, 
394, 726, -1, 
390, 722, -1, 
347, 679, -1, 
337, 669, -1, 
326, 658, -1, 
317, 649, -1, 
401, 733, -1, 
376, 708, -1, 
360, 692, -1, 
377, 709, -1, 
382, 714, -1, 
365, 697, -1, 
332, 664, -1, 
388, 720, -1, 
363, 695, -1, 
358, 690, -1, 
347, 679, -1, 
335, 667, -1, 
343, 675, -1, 
391, 723, -1, 
334, 666, -1, 
374, 706, -1, 
380, 712, -1, 
365, 697, -1, 
375, 707, -1, 
393, 725, -1, 
340, 672, -1, 
342, 674, -1, 
357, 689, -1, 
398, 730, -1, 
347, 679, -1, 
344, 676, -1, 
370, 702, -1, 
358, 690, -1, 
