d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1500, 1500, 900, 1499, 1500, 1500, 0, 8728, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1500, 1500, 900, 1499, 1499, 1500, 0, 8727, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1500, 1499, 900, 1500, 1500, 1500, 0, 8728, -1, 
d, 7, 1500, 1499, 900, 1500, 1500, 1500, 0, 8728, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1499, 0, 8728, -1, 
d, 7, 1500, 1500, 900, 1500, 1500, 1500, 0, 8729, -1, 
d, 7, 1499, 1500, 900, 1500, 1500, 1500, 0, 8728, -1, 
