-0.31, -0.16, -0.42, -0.18, 0.54, -0.29, -9.58, 26.67, 32.10, -0.29, 0.54, -0.18, -69.32, 2.24, -605.73, 0.00, 65255, 1300995953.54, 
-0.35, -0.15, -0.43, 0.26, 0.00, -0.48, -9.64, 26.86, 31.92, -0.49, 0.00, 0.27, -67.93, -0.53, -606.05, 0.00, 65254, 1300995953.78, 
-0.34, -0.14, -0.44, -0.08, -0.23, -1.04, -9.52, 26.31, 32.29, -1.05, -0.24, -0.09, -67.08, 1.50, -609.79, 0.00, 65248, 1300995953.95, 
-0.30, -0.11, -0.43, -0.19, 0.84, -0.66, -9.28, 26.86, 32.59, -0.67, 0.85, -0.20, -68.15, 0.85, -604.13, 0.00, 65255, 1300995954.16, 
-0.30, -0.14, -0.43, -0.73, -0.38, -0.76, -9.64, 26.92, 32.71, -0.76, -0.38, -0.74, -68.89, 4.59, -610.64, 0.00, 65251, 1300995954.39, 
-0.33, -0.13, -0.42, -0.19, 0.37, -0.77, -9.58, 27.28, 32.29, -0.78, 0.38, -0.20, -71.56, 1.82, -603.59, 0.00, 65255, 1300995954.55, 
-0.33, -0.14, -0.41, 0.01, -0.12, -0.25, -9.28, 27.04, 32.47, -0.25, -0.13, 0.02, -69.53, 2.46, -606.91, 0.00, 65255, 1300995954.76, 
-0.36, -0.10, -0.43, -0.23, 1.07, -0.59, -9.77, 26.79, 32.59, -0.80, 0.24, -0.29, -67.18, 2.46, -602.42, 0.00, 65261, 1300995955.0, 
-0.34, -0.12, -0.43, -0.14, 0.58, -0.60, -9.22, 27.16, 32.17, -0.62, 0.58, -0.14, -69.32, 1.92, -604.45, 0.00, 65256, 1300995955.16, 
-0.36, -0.15, -0.42, -0.26, 0.14, -0.55, -9.09, 27.16, 32.41, -0.56, 0.14, -0.27, -69.21, 3.85, -607.87, 0.00, 65255, 1300995955.36, 
-0.31, -0.15, -0.43, -0.19, 0.00, -0.49, -9.22, 27.10, 32.41, -0.51, 0.00, -0.20, -66.86, 3.10, -604.02, 0.00, 65261, 1300995955.59, 
-0.31, -0.15, -0.41, -0.47, 0.22, -0.43, -9.58, 26.67, 32.17, -0.43, 0.24, -0.47, -68.15, 2.14, -606.05, 0.00, 65255, 1300995955.77, 
-0.33, -0.12, -0.42, -0.32, -0.52, -0.73, -9.09, 27.16, 32.41, -0.74, -0.53, -0.33, -68.47, 0.85, -607.23, 0.00, 65251, 1300995955.97, 
-0.38, -0.12, -0.43, -0.41, 0.22, -1.96, -9.46, 26.92, 32.90, -1.98, 0.24, -0.42, -69.53, 1.92, -607.65, 0.00, 65250, 1300995956.2, 
-0.34, -0.14, -0.41, -0.36, 0.66, -0.84, -9.28, 26.49, 32.53, -0.85, 0.67, -0.36, -68.04, 3.63, -607.33, 0.00, 65255, 1300995956.38, 
-0.33, -0.14, -0.42, -0.15, -0.69, -1.18, -9.46, 27.10, 32.59, -1.20, -0.69, -0.16, -68.68, 1.39, -605.52, 0.00, 65252, 1300995956.58, 
-0.27, -0.13, -0.38, -0.43, 0.26, -1.43, -9.52, 27.04, 32.17, -1.43, 0.27, -0.43, -66.97, 1.17, -607.87, 0.00, 65254, 1300995956.8, 
-0.23, -0.13, -0.40, -0.77, -0.05, -0.77, -9.16, 27.22, 32.10, -0.78, -0.05, -0.78, -69.86, 2.88, -610.64, 0.00, 65249, 1300995956.99, 
-0.22, -0.15, -0.40, -0.96, -0.34, -2.01, -9.22, 26.31, 32.90, -2.01, -0.34, -0.98, -70.60, -0.43, -607.55, 0.00, 65243, 1300995957.18, 
